transaction_id,date,raw_description,normalised_description,category,amount_band,region
T00092,2024-03-11,Reliance Fresh INTL,reliance fresh intl,Groceries,5000+,IN
T00093,2024-02-02,PVR Cinemas MUMBAI IN,pvr cinemas mumbai in,Entertainment,200-500,US
T00094,2024-07-31,Lifestyle INTL,lifestyle intl,Shopping,5000+,SG
T00095,2024-10-21,Jio Fiber MUMBAI IN,jio fiber mumbai in,Bills,2000-5000,IN
T00096,2024-07-18,H&M,h&m,Shopping,500-2000,EU
T00097,2024-09-06,Zara /NETBANKING,zara netbanking,Shopping,5000+,US
T00098,2024-07-18,IndianOil MUMBAI IN,indianoil mumbai in,Fuel,2000-5000,IN
T00099,2024-08-27,Late Fee - UPI,late fee upi,Others,2000-5000,US
T00100,2024-02-12,Netflix MUMBAI IN,netflix mumbai in,Entertainment,5000+,IN
T00101,2024-05-13,Myntra BLR IN,myntra blr in,Shopping,200-500,IN
T00102,2024-06-21,Croma - ONLINE,croma online,Shopping,2000-5000,EU
T00103,2024-08-28,Best Buy MUMBAI IN,best buy mumbai in,Shopping,500-2000,IN
T00104,2024-04-24,Mobile Recharge NEW DELHI,mobile recharge new delhi,Bills,0-200,EU
T00105,2024-01-11,Starbucks,starbucks,Dining,200-500,US
T00106,2024-08-26,PVR Cinemas *REF 8758,pvr cinemas ref 8758,Entertainment,0-200,US
T00107,2024-03-24,Nature's Basket INTL,nature's basket intl,Groceries,200-500,IN
T00108,2024-10-21,Big Bazaar BANGALORE IN,big bazaar bangalore in,Groceries,0-200,EU
T00109,2024-10-30,Lifestyle /NETBANKING,lifestyle netbanking,Shopping,200-500,IN
T00110,2024-10-16,Shell Petrol /NETBANKING,shell petrol netbanking,Fuel,500-2000,IN
T00111,2024-02-05,Electricity Board NEW DELHI,electricity board new delhi,Bills,2000-5000,EU
T00112,2024-08-09,Service Charge MUMBAI IN,service charge mumbai in,Others,2000-5000,IN
T00113,2024-03-31,Late Fee BLR IN,late fee blr in,Others,200-500,SG
T00114,2024-08-11,Target Groceries NEW DELHI,target groceries new delhi,Groceries,2000-5000,SG
T00115,2024-08-18,Reliance Fresh - ONLINE,reliance fresh online,Groceries,0-200,EU
T00116,2024-06-21,BP Fuel Station BANGALORE IN,bp fuel station bangalore in,Fuel,5000+,SG
T00117,2024-04-18,Water Utility INTL,water utility intl,Bills,200-500,SG
T00118,2024-11-01,Annual Fee - POS TXN,annual fee pos txn,Others,500-2000,EU
T00119,2024-02-13,Target Groceries,target groceries,Groceries,5000+,US
T00120,2024-12-19,Nayara Energy MUMBAI IN,nayara energy mumbai in,Fuel,2000-5000,US
T00121,2024-05-30,Rapido BLR IN,rapido blr in,Travel,0-200,IN
T00122,2024-12-05,BP Fuel Station /NETBANKING,bp fuel station netbanking,Fuel,200-500,EU
T00123,2024-08-05,Parking NEW DELHI,parking new delhi,Others,5000+,EU
T00124,2024-06-05,Maintenance Charge /NETBANKING,maintenance charge netbanking,Others,2000-5000,EU
T00125,2024-03-02,DMart #0421,dmart 0421,Groceries,200-500,EU
T00126,2024-10-28,PVR Cinemas - ONLINE,pvr cinemas online,Entertainment,2000-5000,EU
T00127,2024-07-03,Big Bazaar - ONLINE,big bazaar online,Groceries,500-2000,US
T00128,2024-05-20,SonyLiv,sonyliv,Entertainment,5000+,US
T00129,2024-11-22,Airtel Postpaid NEW DELHI,airtel postpaid new delhi,Bills,500-2000,US
T00130,2024-08-28,Ola Cabs,ola cabs,Travel,5000+,EU
T00131,2024-05-09,Rapido INTL,rapido intl,Travel,200-500,IN
T00132,2024-02-07,Ola Cabs #0421,ola cabs 0421,Travel,2000-5000,SG
T00133,2024-03-01,Jio Fiber *REF 5978,jio fiber ref 5978,Bills,0-200,US
T00134,2024-08-14,Ajio NEW DELHI,ajio new delhi,Shopping,2000-5000,SG
T00135,2024-10-18,Nature's Basket BANGALORE IN,nature's basket bangalore in,Groceries,2000-5000,EU
T00136,2024-11-16,Gas Company /NETBANKING,gas company netbanking,Bills,0-200,US
T00137,2024-05-02,IndianOil - UPI,indianoil upi,Fuel,0-200,US
T00138,2024-12-18,Spotify *REF 1043,spotify ref 1043,Entertainment,2000-5000,SG
T00139,2024-12-27,IRCTC,irctc,Travel,200-500,EU
T00140,2024-05-15,More Supermarket BLR IN,more supermarket blr in,Groceries,0-200,US
T00141,2024-11-27,BP Fuel Station #0421,bp fuel station 0421,Fuel,5000+,US
T00142,2024-06-06,SonyLiv *REF 2169,sonyliv ref 2169,Entertainment,0-200,US
T00143,2024-12-24,Walmart #0421,walmart 0421,Groceries,2000-5000,EU
T00144,2024-08-12,Best Buy NEW DELHI,best buy new delhi,Shopping,5000+,SG
T00145,2024-01-14,Starbucks MUMBAI IN,starbucks mumbai in,Dining,500-2000,EU
T00146,2024-12-10,KFC - UPI,kfc upi,Dining,5000+,IN
T00147,2024-09-22,Target Groceries,target groceries,Groceries,200-500,SG
T00148,2024-08-28,IRCTC *REF 8141,irctc ref 8141,Travel,2000-5000,IN
T00149,2024-03-23,Parking INTL,parking intl,Others,500-2000,IN
T00150,2024-12-05,Parking /NETBANKING,parking netbanking,Others,2000-5000,EU
T00151,2024-06-10,Zara,zara,Shopping,2000-5000,IN
T00152,2024-12-02,Reliance Fresh #0421,reliance fresh 0421,Groceries,2000-5000,IN
T00153,2024-11-14,RedBus,redbus,Travel,200-500,EU
T00154,2024-10-08,Rapido,rapido,Travel,200-500,EU
T00155,2024-01-15,SonyLiv BLR IN,sonyliv blr in,Entertainment,2000-5000,IN
T00156,2024-10-09,Nayara Energy *REF 6091,nayara energy ref 6091,Fuel,5000+,IN
T00157,2024-03-01,Flipkart - ONLINE,flipkart online,Shopping,0-200,SG
T00158,2024-07-31,Prime Video /NETBANKING,prime video netbanking,Entertainment,500-2000,EU
T00159,2024-07-15,Rapido - ONLINE,rapido online,Travel,2000-5000,US
T00160,2024-05-21,Essar Fuel NEW DELHI,essar fuel new delhi,Fuel,200-500,IN
T00161,2024-05-24,Croma NEW DELHI,croma new delhi,Shopping,500-2000,IN
T00162,2024-03-17,Nature's Basket BANGALORE IN,nature's basket bangalore in,Groceries,5000+,SG
T00163,2024-08-21,Rapido INTL,rapido intl,Travel,500-2000,SG
T00164,2024-04-29,Annual Fee - ONLINE,annual fee online,Others,200-500,SG
T00165,2024-07-16,Amazon INTL,amazon intl,Shopping,2000-5000,SG
T00166,2024-02-21,Prime Video,prime video,Entertainment,200-500,EU
T00167,2024-03-14,Ola Cabs NEW DELHI,ola cabs new delhi,Travel,2000-5000,IN
T00168,2024-06-22,Myntra #0421,myntra 0421,Shopping,2000-5000,EU
T00169,2024-06-11,Flipkart INTL,flipkart intl,Shopping,5000+,SG
T00170,2024-11-19,Uber BANGALORE IN,uber bangalore in,Travel,0-200,US
T00171,2024-02-20,DMart /NETBANKING,dmart netbanking,Groceries,0-200,SG
T00172,2024-06-15,Pizza Hut *REF 5906,pizza hut ref 5906,Dining,0-200,IN
T00173,2024-03-15,Electricity Board INTL,electricity board intl,Bills,500-2000,SG
T00174,2024-03-28,Essar Fuel MUMBAI IN,essar fuel mumbai in,Fuel,5000+,US
T00175,2024-09-11,Spotify BANGALORE IN,spotify bangalore in,Entertainment,2000-5000,US
T00176,2024-05-10,PVR Cinemas BLR IN,pvr cinemas blr in,Entertainment,500-2000,SG
T00177,2024-02-07,DTH Recharge BLR IN,dth recharge blr in,Bills,500-2000,US
T00178,2024-12-19,Vistara BANGALORE IN,vistara bangalore in,Travel,500-2000,SG
T00179,2024-09-04,Walmart - POS TXN,walmart pos txn,Groceries,200-500,SG
T00180,2024-10-21,KFC MUMBAI IN,kfc mumbai in,Dining,5000+,EU
T00181,2024-05-20,More Supermarket - POS TXN,more supermarket pos txn,Groceries,0-200,SG
T00182,2024-05-26,Gas Company - UPI,gas company upi,Bills,0-200,SG
T00183,2024-11-13,Essar Fuel INTL,essar fuel intl,Fuel,200-500,US
T00184,2024-11-17,More Supermarket /NETBANKING,more supermarket netbanking,Groceries,200-500,IN
T00185,2024-03-08,Electricity Board BLR IN,electricity board blr in,Bills,0-200,EU
T00186,2024-04-12,Subway INTL,subway intl,Dining,2000-5000,US
T00187,2024-03-25,Hotstar NEW DELHI,hotstar new delhi,Entertainment,5000+,EU
T00188,2024-02-28,Nature's Basket BLR IN,nature's basket blr in,Groceries,500-2000,EU
T00189,2024-02-16,Ola Cabs *REF 4696,ola cabs ref 4696,Travel,2000-5000,EU
T00190,2024-08-20,Amazon - POS TXN,amazon pos txn,Shopping,5000+,IN
T00191,2024-11-22,Late Fee /NETBANKING,late fee netbanking,Others,500-2000,SG
T00192,2024-01-13,Service Charge - UPI,service charge upi,Others,200-500,SG
T00193,2024-12-24,Toll Plaza - ONLINE,toll plaza online,Others,0-200,SG
T00194,2024-01-24,More Supermarket MUMBAI IN,more supermarket mumbai in,Groceries,0-200,US
T00195,2024-04-30,Electricity Board BLR IN,electricity board blr in,Bills,0-200,IN
T00196,2024-10-27,Apple Music BLR IN,apple music blr in,Entertainment,500-2000,SG
T00197,2024-11-11,Apple Music - UPI,apple music upi,Entertainment,0-200,SG
T00198,2024-08-15,Best Buy,best buy,Shopping,500-2000,US
T00199,2024-10-05,MakeMyTrip INTL,makemytrip intl,Travel,0-200,EU
T00200,2024-03-03,Service Charge MUMBAI IN,service charge mumbai in,Others,500-2000,US
T00201,2024-01-26,Ola Cabs - UPI,ola cabs upi,Travel,200-500,IN
T00202,2024-10-27,Bank Fee *REF 4362,bank fee ref 4362,Others,0-200,US
T00203,2024-05-21,HP Petrol Pump INTL,hp petrol pump intl,Fuel,200-500,IN
T00204,2024-02-26,BookMyShow NEW DELHI,bookmyshow new delhi,Entertainment,500-2000,US
T00205,2024-10-28,Jio Fiber,jio fiber,Bills,500-2000,US
T00206,2024-08-03,Service Charge *REF 5347,service charge ref 5347,Others,0-200,US
T00207,2024-09-19,McDonald's BLR IN,mcdonald's blr in,Dining,2000-5000,EU
T00208,2024-12-03,Pizza Hut NEW DELHI,pizza hut new delhi,Dining,200-500,IN
T00209,2024-09-02,Walmart - UPI,walmart upi,Groceries,0-200,IN
T00210,2024-12-30,Lifestyle - UPI,lifestyle upi,Shopping,0-200,SG
T00211,2024-02-03,Ola Cabs #0421,ola cabs 0421,Travel,500-2000,US
T00212,2024-07-14,SonyLiv BANGALORE IN,sonyliv bangalore in,Entertainment,5000+,EU
T00213,2024-02-20,Walmart NEW DELHI,walmart new delhi,Groceries,5000+,SG
T00214,2024-07-30,KFC MUMBAI IN,kfc mumbai in,Dining,2000-5000,US
T00215,2024-02-18,Annual Fee BLR IN,annual fee blr in,Others,2000-5000,SG
T00216,2024-03-19,Parking INTL,parking intl,Others,500-2000,EU
T00217,2024-08-09,Ola Cabs #0421,ola cabs 0421,Travel,0-200,IN
T00218,2024-12-09,Cafe Coffee Day *REF 1982,cafe coffee day ref 1982,Dining,5000+,EU
T00219,2024-05-27,Burger King INTL,burger king intl,Dining,2000-5000,IN
T00220,2024-03-20,Reliance Fresh #0421,reliance fresh 0421,Groceries,5000+,US
T00221,2024-02-28,MakeMyTrip #0421,makemytrip 0421,Travel,500-2000,EU
T00222,2024-11-07,Target Groceries - ONLINE,target groceries online,Groceries,2000-5000,IN
T00223,2024-06-28,Big Bazaar *REF 5477,big bazaar ref 5477,Groceries,500-2000,EU
T00224,2024-11-20,Jio Fiber *REF 7566,jio fiber ref 7566,Bills,0-200,US
T00225,2024-07-11,Airtel Postpaid /NETBANKING,airtel postpaid netbanking,Bills,5000+,US
T00226,2024-06-08,H&M INTL,h&m intl,Shopping,200-500,EU
T00227,2024-01-27,Annual Fee BANGALORE IN,annual fee bangalore in,Others,5000+,IN
T00228,2024-05-19,BookMyShow BANGALORE IN,bookmyshow bangalore in,Entertainment,0-200,IN
T00229,2024-07-31,RedBus BLR IN,redbus blr in,Travel,5000+,SG
T00230,2024-08-08,DMart NEW DELHI,dmart new delhi,Groceries,0-200,EU
T00231,2024-09-26,Subway - UPI,subway upi,Dining,5000+,SG
T00232,2024-01-04,Big Bazaar - ONLINE,big bazaar online,Groceries,2000-5000,IN
T00233,2024-05-28,IndianOil - ONLINE,indianoil online,Fuel,200-500,EU
T00234,2024-03-30,Service Charge,service charge,Others,2000-5000,SG
T00235,2024-02-06,Apple Music NEW DELHI,apple music new delhi,Entertainment,200-500,EU
T00236,2024-02-09,Amazon MUMBAI IN,amazon mumbai in,Shopping,0-200,SG
T00237,2024-12-29,Toll Plaza MUMBAI IN,toll plaza mumbai in,Others,5000+,SG
T00238,2024-06-15,Best Buy #0421,best buy 0421,Shopping,2000-5000,IN
T00239,2024-08-11,Prime Video /NETBANKING,prime video netbanking,Entertainment,500-2000,IN
T00240,2024-09-25,KFC MUMBAI IN,kfc mumbai in,Dining,5000+,SG
T00241,2024-06-19,Burger King - POS TXN,burger king pos txn,Dining,500-2000,US
T00242,2024-06-27,Spotify NEW DELHI,spotify new delhi,Entertainment,0-200,US
T00243,2024-02-22,Late Fee - UPI,late fee upi,Others,200-500,US
T00244,2024-12-01,SonyLiv - ONLINE,sonyliv online,Entertainment,200-500,US
T00245,2024-10-15,Domino's Pizza - UPI,domino's pizza upi,Dining,2000-5000,SG
T00246,2024-08-13,Vistara - UPI,vistara upi,Travel,500-2000,US
T00247,2024-10-29,Pizza Hut BLR IN,pizza hut blr in,Dining,500-2000,EU
T00248,2024-08-24,Electricity Board NEW DELHI,electricity board new delhi,Bills,0-200,EU
T00249,2024-02-09,Uber,uber,Travel,500-2000,EU
T00250,2024-08-18,Burger King BLR IN,burger king blr in,Dining,5000+,IN
T00251,2024-02-01,IndianOil BANGALORE IN,indianoil bangalore in,Fuel,2000-5000,US
T00252,2024-01-21,Ola Cabs INTL,ola cabs intl,Travel,0-200,US
T00253,2024-07-05,Nayara Energy BLR IN,nayara energy blr in,Fuel,2000-5000,US
T00254,2024-12-13,Maintenance Charge MUMBAI IN,maintenance charge mumbai in,Others,2000-5000,EU
T00255,2024-06-17,DTH Recharge - UPI,dth recharge upi,Bills,500-2000,IN
T00256,2024-06-19,Burger King - POS TXN,burger king pos txn,Dining,500-2000,US
T00257,2024-03-07,Domino's Pizza INTL,domino's pizza intl,Dining,500-2000,SG
T00258,2024-03-06,Subway NEW DELHI,subway new delhi,Dining,2000-5000,EU
T00259,2024-07-04,Burger King NEW DELHI,burger king new delhi,Dining,500-2000,IN
T00260,2024-04-08,DMart - ONLINE,dmart online,Groceries,500-2000,SG
T00261,2024-09-16,HP Petrol Pump *REF 2264,hp petrol pump ref 2264,Fuel,500-2000,IN
T00262,2024-11-01,Mobile Recharge INTL,mobile recharge intl,Bills,5000+,US
T00263,2024-08-12,Myntra *REF 3962,myntra ref 3962,Shopping,5000+,US
T00264,2024-11-08,Water Utility INTL,water utility intl,Bills,200-500,SG
T00265,2024-09-30,Nature's Basket /NETBANKING,nature's basket netbanking,Groceries,2000-5000,US
T00266,2024-12-13,IndianOil BLR IN,indianoil blr in,Fuel,200-500,EU
T00267,2024-03-23,Rapido - POS TXN,rapido pos txn,Travel,2000-5000,SG
T00268,2024-07-09,Essar Fuel *REF 5096,essar fuel ref 5096,Fuel,0-200,SG
T00269,2024-05-19,McDonald's - POS TXN,mcdonald's pos txn,Dining,0-200,US
T00270,2024-08-18,IndiGo Airlines MUMBAI IN,indigo airlines mumbai in,Travel,0-200,US
T00271,2024-09-14,Service Charge MUMBAI IN,service charge mumbai in,Others,0-200,SG
T00272,2024-04-24,Bank Fee MUMBAI IN,bank fee mumbai in,Others,0-200,EU
T00273,2024-03-11,Electricity Board #0421,electricity board 0421,Bills,500-2000,US
T00274,2024-08-17,Electricity Board BLR IN,electricity board blr in,Bills,200-500,SG
T00275,2024-03-17,Airtel Postpaid,airtel postpaid,Bills,500-2000,US
T00276,2024-03-03,Flipkart - POS TXN,flipkart pos txn,Shopping,200-500,EU
T00277,2024-02-02,Jio Fiber MUMBAI IN,jio fiber mumbai in,Bills,5000+,SG
T00278,2024-11-19,Pizza Hut BANGALORE IN,pizza hut bangalore in,Dining,5000+,IN
T00279,2024-11-10,Nayara Energy *REF 5772,nayara energy ref 5772,Fuel,2000-5000,IN
T00280,2024-12-06,Bank Fee BANGALORE IN,bank fee bangalore in,Others,2000-5000,US
T00281,2024-07-18,Cafe Coffee Day #0421,cafe coffee day 0421,Dining,5000+,IN
T00282,2024-05-09,Uber - UPI,uber upi,Travel,2000-5000,EU
T00283,2024-12-02,Electricity Board #0421,electricity board 0421,Bills,500-2000,US
T00284,2024-11-25,Cafe Coffee Day *REF 1726,cafe coffee day ref 1726,Dining,500-2000,EU
T00285,2024-03-10,Prime Video /NETBANKING,prime video netbanking,Entertainment,2000-5000,US
T00286,2024-01-23,Pizza Hut,pizza hut,Dining,500-2000,US
T00287,2024-10-05,Shell Petrol INTL,shell petrol intl,Fuel,500-2000,SG
T00288,2024-07-01,IRCTC,irctc,Travel,200-500,EU
T00289,2024-03-04,DTH Recharge - UPI,dth recharge upi,Bills,500-2000,EU
T00290,2024-06-22,Parking MUMBAI IN,parking mumbai in,Others,2000-5000,SG
T00291,2024-09-22,Prime Video /NETBANKING,prime video netbanking,Entertainment,2000-5000,EU
T00292,2024-08-08,Nature's Basket #0421,nature's basket 0421,Groceries,2000-5000,IN
T00293,2024-06-16,SonyLiv INTL,sonyliv intl,Entertainment,0-200,IN
T00294,2024-03-26,Reliance Fresh BLR IN,reliance fresh blr in,Groceries,5000+,SG
T00295,2024-11-10,Vistara BLR IN,vistara blr in,Travel,0-200,EU
T00296,2024-12-09,Best Buy - UPI,best buy upi,Shopping,0-200,IN
T00297,2024-03-14,Croma NEW DELHI,croma new delhi,Shopping,200-500,IN
T00298,2024-07-04,Uber *REF 2101,uber ref 2101,Travel,200-500,EU
T00299,2024-07-08,Amazon BANGALORE IN,amazon bangalore in,Shopping,200-500,SG
T00300,2024-09-28,Parking #0421,parking 0421,Others,5000+,US
T00301,2024-02-28,Parking INTL,parking intl,Others,500-2000,US
T00302,2024-10-14,Mobile Recharge *REF 9176,mobile recharge ref 9176,Bills,5000+,SG
T00303,2024-11-09,Subway - POS TXN,subway pos txn,Dining,2000-5000,US
T00304,2024-03-10,More Supermarket BLR IN,more supermarket blr in,Groceries,200-500,IN
T00305,2024-12-07,Pizza Hut *REF 8292,pizza hut ref 8292,Dining,0-200,EU
T00306,2024-06-02,Late Fee #0421,late fee 0421,Others,5000+,EU
T00307,2024-03-03,BookMyShow INTL,bookmyshow intl,Entertainment,5000+,US
T00308,2024-07-03,HP Petrol Pump - ONLINE,hp petrol pump online,Fuel,2000-5000,IN
T00309,2024-02-03,Parking NEW DELHI,parking new delhi,Others,200-500,IN
T00310,2024-07-28,Walmart /NETBANKING,walmart netbanking,Groceries,2000-5000,SG
T00311,2024-08-26,Domino's Pizza INTL,domino's pizza intl,Dining,0-200,SG
T00312,2024-03-07,Bank Fee NEW DELHI,bank fee new delhi,Others,5000+,US
T00313,2024-06-04,Zara,zara,Shopping,0-200,US
T00314,2024-09-22,BookMyShow INTL,bookmyshow intl,Entertainment,200-500,EU
T00315,2024-11-21,Nature's Basket #0421,nature's basket 0421,Groceries,500-2000,US
T00316,2024-09-14,DMart - UPI,dmart upi,Groceries,500-2000,IN
T00317,2024-01-15,BookMyShow *REF 6531,bookmyshow ref 6531,Entertainment,5000+,IN
T00318,2024-11-29,Starbucks - UPI,starbucks upi,Dining,5000+,EU
T00319,2024-09-11,Essar Fuel MUMBAI IN,essar fuel mumbai in,Fuel,5000+,IN
T00320,2024-12-16,More Supermarket - POS TXN,more supermarket pos txn,Groceries,2000-5000,US
T00321,2024-03-21,Best Buy BLR IN,best buy blr in,Shopping,0-200,IN
T00322,2024-06-23,RedBus BLR IN,redbus blr in,Travel,2000-5000,US
T00323,2024-07-23,Hotstar /NETBANKING,hotstar netbanking,Entertainment,500-2000,EU
T00324,2024-06-12,Hotstar NEW DELHI,hotstar new delhi,Entertainment,5000+,IN
T00325,2024-05-06,BP Fuel Station #0421,bp fuel station 0421,Fuel,500-2000,SG
T00326,2024-11-11,Spotify,spotify,Entertainment,500-2000,SG
